{'0_w_norm': 9.239019393920898, '0_w_mean': -1.7825210306909867e-05, '0_w_std': 0.02062288671731949, '0_w_max': 0.038195185363292694, '0_w_min': -0.037243958562612534, '0_g_norm': 0.21284809708595276, '0_g_mean': 7.91490549545415e-07, '0_g_std': 0.0004751078668050468, '1_w_norm': 1.8371623754501343, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.03629836440086365, '1_w_max': 0.06756971031427383, '1_w_min': -0.06486134976148605, '1_g_norm': 0.1161414235830307, '1_g_mean': -8.04902845763511e-12, '1_g_std': 0.002295894781127572}
{'0_w_norm': 9.239371299743652, '0_w_mean': -1.7646765627432615e-05, '0_w_std': 0.020623648539185524, '0_w_max': 0.03846216946840286, '0_w_min': -0.037427276372909546, '0_g_norm': 0.21147680282592773, '0_g_mean': -1.9892047475877916e-06, '0_g_std': 0.0004720434080809355, '1_w_norm': 1.8388630151748657, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.03633200004696846, '1_w_max': 0.0682225301861763, '1_w_min': -0.06533209979534149, '1_g_norm': 0.11020563542842865, '1_g_mean': -8.640199666842818e-12, '1_g_std': 0.0021785555873066187}
{'0_w_norm': 9.239755630493164, '0_w_mean': -1.7395015674992464e-05, '0_w_std': 0.02062450908124447, '0_w_max': 0.03872329369187355, '0_w_min': -0.037595879286527634, '0_g_norm': 0.24343711137771606, '0_g_mean': 8.774114235166053e-07, '0_g_std': 0.0005433870828710496, '1_w_norm': 1.8407846689224243, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.036370012909173965, '1_w_max': 0.06874146312475204, '1_w_min': -0.0658465251326561, '1_g_norm': 0.14135347306728363, '1_g_mean': -2.9058356415534448e-11, '1_g_std': 0.002794289030134678}
{'0_w_norm': 9.240177154541016, '0_w_mean': -1.7180376744363457e-05, '0_w_std': 0.02062544971704483, '0_w_max': 0.03892577067017555, '0_w_min': -0.03776691108942032, '0_g_norm': 0.2581369876861572, '0_g_mean': 4.848170931381901e-08, '0_g_std': 0.0005762000801041722, '1_w_norm': 1.8428841829299927, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.03641153872013092, '1_w_max': 0.0695497989654541, '1_w_min': -0.06630384922027588, '1_g_norm': 0.1554614156484604, '1_g_mean': -2.5056578339954783e-11, '1_g_std': 0.0030731763690710068}
{'0_w_norm': 9.240683555603027, '0_w_mean': -1.6843705452629365e-05, '0_w_std': 0.02062658965587616, '0_w_max': 0.03918296843767166, '0_w_min': -0.03794385492801666, '0_g_norm': 0.24318407475948334, '0_g_mean': -1.763313321134774e-06, '0_g_std': 0.0005428200820460916, '1_w_norm': 1.8454238176345825, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.036461759358644485, '1_w_max': 0.07015205919742584, '1_w_min': -0.06690718233585358, '1_g_norm': 0.15074357390403748, '1_g_mean': -2.319211489520967e-11, '1_g_std': 0.0029799137264490128}
{'0_w_norm': 9.241205215454102, '0_w_mean': -1.6533404050278477e-05, '0_w_std': 0.020627755671739578, '0_w_max': 0.03951364755630493, '0_w_min': -0.03811395540833473, '0_g_norm': 0.30814996361732483, '0_g_mean': -7.637157068529632e-06, '0_g_std': 0.0006877940613776445, '1_w_norm': 1.848024845123291, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.03651320934295654, '1_w_max': 0.07105842977762222, '1_w_min': -0.06756460666656494, '1_g_norm': 0.18963341414928436, '1_g_mean': -1.871285418286739e-11, '1_g_std': 0.003748691640794277}
{'0_w_norm': 9.241827964782715, '0_w_mean': -1.5933579561533406e-05, '0_w_std': 0.020629137754440308, '0_w_max': 0.03982066735625267, '0_w_min': -0.0382796935737133, '0_g_norm': 0.30718907713890076, '0_g_mean': -2.709460568439681e-05, '0_g_std': 0.0006851561483927071, '1_w_norm': 1.8511052131652832, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.03657413274049759, '1_w_max': 0.07170366495847702, '1_w_min': -0.06823420524597168, '1_g_norm': 0.1837168037891388, '1_g_mean': -2.2964741219766438e-11, '1_g_std': 0.0036317314952611923}
{'0_w_norm': 9.242491722106934, '0_w_mean': -1.6006413716240786e-05, '0_w_std': 0.020630627870559692, '0_w_max': 0.040072016417980194, '0_w_min': -0.03850383311510086, '0_g_norm': 0.34808316826820374, '0_g_mean': 2.1110054149175994e-06, '0_g_std': 0.0007769704097881913, '1_w_norm': 1.8544195890426636, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.036639682948589325, '1_w_max': 0.07298175990581512, '1_w_min': -0.0689002275466919, '1_g_norm': 0.21158450841903687, '1_g_mean': 1.1095835188157377e-11, '1_g_std': 0.004182622767984867}
{'0_w_norm': 9.24325942993164, '0_w_mean': -1.589914973010309e-05, '0_w_std': 0.020632347092032433, '0_w_max': 0.040342725813388824, '0_w_min': -0.03869958594441414, '0_g_norm': 0.2972192168235779, '0_g_mean': -2.6363616143498803e-06, '0_g_std': 0.0006634321762248874, '1_w_norm': 1.8582384586334229, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.03671522065997124, '1_w_max': 0.0741666853427887, '1_w_min': -0.06953925639390945, '1_g_norm': 0.17135947942733765, '1_g_mean': -4.568505643232079e-11, '1_g_std': 0.0033874507062137127}
{'0_w_norm': 9.244065284729004, '0_w_mean': -1.5816698578419164e-05, '0_w_std': 0.020634135231375694, '0_w_max': 0.04062385857105255, '0_w_min': -0.03888685628771782, '0_g_norm': 0.2775898575782776, '0_g_mean': 5.571939254878089e-06, '0_g_std': 0.000619596685282886, '1_w_norm': 1.8622004985809326, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.03679357469081879, '1_w_max': 0.0753537192940712, '1_w_min': -0.07019736617803574, '1_g_norm': 0.1560949981212616, '1_g_mean': -4.774846967467439e-13, '1_g_std': 0.0030857010278850794}
